mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2022,10,d243951a7ed114200a6230999ba574919fe65a78,1cd370fd532be9a1464404306b5315ee0c630f81,70101,,
2022,30,d243951a7ed114200a6230999ba574919fe65a78,1cd370fd532be9a1464404306b5315ee0c630f81,70101,,
2021,03,3d32d37dd0da45508225a440c7c5ca69003ebf46,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,90011,,
2021,47,4ad27927a2a8b649dac51bd39201e05aa409e5b8,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,64923,,
2022,35,99f48a317b52ecc86ca0669f9967246446dc7590,32b7d812c10918cbf265dbff1bcfdf68b28bb737,85314,94997,
2021,13,e94e9818c6d573b77c4701e06dd79903d8c1ae12,5421b76c5200133801fef3c2ec3b240c8749c268,70221,,
2022,13,e94e9818c6d573b77c4701e06dd79903d8c1ae12,5421b76c5200133801fef3c2ec3b240c8749c268,70221,,
2023,11,e94e9818c6d573b77c4701e06dd79903d8c1ae12,5421b76c5200133801fef3c2ec3b240c8749c268,70221,,
2021,07,5112db3259700928364461edef51b1fb30e79558,551e8261c59b68b4b4d99bbc4038f226ae383750,6420,,
2022,02,5112db3259700928364461edef51b1fb30e79558,551e8261c59b68b4b4d99bbc4038f226ae383750,6420,,
2021,26,8bcff411d205b46b88b028b859209c7c991d1b35,5671104bbb92556ebe71f712ab558370eb404c94,47641,9522,
2021,20,859b7f8fe7f7314d535569986e7990fb32106f08,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,90011,,
2021,07,dcefe03957cceaa2a1d00aa0a064b1d85f7d557d,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,,,
2021,14,5fb966032a870c8e877e62b420138a5581704e84,3dd4400bac752a657d921cabbc7bc9fff1345808,6420,,
2021,29,5fb966032a870c8e877e62b420138a5581704e84,3dd4400bac752a657d921cabbc7bc9fff1345808,6420,,
2022,18,5fb966032a870c8e877e62b420138a5581704e84,3dd4400bac752a657d921cabbc7bc9fff1345808,6420,,
2021,46,3bc6f2ee7073642d1eaef663e57ebba51d2acf8c,f6b83dafc72c9ce27be957a32f1866bb1aa24be1,46739,4613,
